username, created_at, lng, lat, text
jayjayriv, Thu Apr 30 07:00:48 +0000 2020, -118.222017, 33.884968, @valeriaabernal Some f*gg*t that’s always talking about A24 movies recommended it 😩Sksksk *cough cough* @the4thgate 
RendertheBooty, Thu Apr 30 07:00:48 +0000 2020, -116.238001, 43.598033, @seararain Well you see you light it, you hold it in about 3 seconds, you inhale it, you blow it out your nose bc i… https://t.co/l1DMLIbYi1 
Ibedodie, Thu Apr 30 07:00:48 +0000 2020, -89.559744, 37.317093, He is the sickest most Evil narcissist that has ever lived 👿🤢🐷🦠 
yoderro, Thu Apr 30 07:00:49 +0000 2020, -75.770041, 42.746617, 3:00:45 m04/30/2020it’s fine, i’m alright @LilXtraATL https://t.co/624LhVaARA 
LUXRE, Thu Apr 30 07:00:49 +0000 2020, -80.168949, 26.439656, Delray Beach, Florida - $579,900 USD https://t.co/vYUTViUFfd https://t.co/Z1h5I8r5Z5 
Tru29sel, Thu Apr 30 07:00:49 +0000 2020, -118.156711, 33.809172, @CyrusMMcQueen What's wrong with cheesecake for breakfast? Sounds good to me. 
alcarmona175, Thu Apr 30 07:00:49 +0000 2020, -83.804475, 27.698682, @hollandcourtney @5b20be6386164f8 Exactly right. We are probably safer voting normally. #ReopenAmerica #VoterID https://t.co/citmksWkgg 
RawwHoneyy, Thu Apr 30 07:00:49 +0000 2020, -96.913053, 32.647124, you got a better chance of meeting Harry than me getting you a goat 
lavelle_sowell, Thu Apr 30 07:00:49 +0000 2020, -118.222017, 33.884968, @playyboigeo @sadiqacklin Never listening to him again 
shaysolovely, Thu Apr 30 07:00:49 +0000 2020, -158.037475, 21.472732, I get in certain moods where I don’t talk! And I self destruct and push ppl away! 😔 
byeongyunho, Thu Apr 30 07:00:49 +0000 2020, -118.411907, 34.020789, what are some concepts that you would like to try? 👀 #ASKATEEZ #TwitterBlueRoom #ATEEZ  #에이티즈 
LOVEcrimess, Thu Apr 30 07:00:49 +0000 2020, -118.411907, 34.020789, Dying 😂 
porshadeun, Thu Apr 30 07:00:50 +0000 2020, -83.633752, 42.906423, @AllShrinks The main characters never share a name with someone I know. Side characters maybe but different spellin… https://t.co/qz5fbhkPI2 
SilencxerES, Thu Apr 30 07:00:50 +0000 2020, -96.761753, 32.819858, @i2Apollo Holy hell where were you during ww2 you just beat Hitler 
__jossyyy, Thu Apr 30 07:00:50 +0000 2020, -96.761753, 32.819858, @__SweetHoneyy See you tomorrow. 🥰🥰🥰 
JoshChapinABC11, Thu Apr 30 07:00:50 +0000 2020, -78.895441, 35.990983, https://t.co/uyQibMj4e2 we all hope there’s school in the fall here #ABC11 @UNC @UNC_System 
boyanbrian, Thu Apr 30 07:00:50 +0000 2020, -121.166248, 38.776553, @ProfessorCrunk you’re a racist 
Kelpalots, Thu Apr 30 07:00:50 +0000 2020, -97.343915, 37.683897, He caused every Holocaust. 
Angel21Pineda, Thu Apr 30 07:00:51 +0000 2020, -121.873730, 37.331159, First mistake was fucking with a lot of people and not keeping my circle small fasho 
polkadottedhobo, Thu Apr 30 07:00:51 +0000 2020, -117.824049, 33.810159, thank GOD holy fuck!!!! 
Olivertitan1105, Thu Apr 30 07:00:51 +0000 2020, -73.948775, 40.655138, I guess I’m growing my hair back out while until further notice... 
TalesNarrative, Thu Apr 30 07:00:51 +0000 2020, -73.948775, 40.655138, RIP #Rishi_Kapoor that's 2 artists in just 2 days i’ve known from childhood. Truly a loss. 💔 
cristian__vaca, Thu Apr 30 07:00:52 +0000 2020, -116.871099, 33.043952, Smh see what y’all did for flocking to the beaches 😂 
huddiinc, Thu Apr 30 07:00:52 +0000 2020, -117.661853, 34.119646, https://t.co/SxGvxqcUbm May 8th ❤️ 
IanMBrowne, Thu Apr 30 07:00:52 +0000 2020, -71.088712, 42.313670, This is very touching..RIP, Mike. I remember reading him as a kid. Thanks to Mark and @AdamHimmelsbach of the Globe… https://t.co/69WbWhH5ZV 
DirtySouth_Tony, Thu Apr 30 07:00:52 +0000 2020, -121.469664, 38.561722, Over here trying to keep myself occupied but this shit hurts bad. That’s why I can’t wait til I go back to work. 
ruthellaowens, Thu Apr 30 07:00:52 +0000 2020, -96.761753, 32.819858, These Dallas Restaurants Will Reopen Dining Rooms on May 1 https://t.co/QVUDWR8hb4 
xoxoambrozia, Thu Apr 30 07:00:52 +0000 2020, -119.827182, 39.512436, Anyone else’s twitter acting up? Annoying 🙃🙃 
ochoa_jaden, Thu Apr 30 07:00:52 +0000 2020, -119.306608, 37.269176, @matt607z Thank you&lt;3 
Nottooickyyy, Thu Apr 30 07:00:53 +0000 2020, -73.831187, 40.670879, LMAO 
Subject1173, Thu Apr 30 07:00:53 +0000 2020, -118.325145, 34.182160, How do u explain to people that you one times retreat into ur own head to escape sometimes and drinking enhances th… https://t.co/RuNtCxyhUx 
BlueHawk54, Thu Apr 30 07:00:53 +0000 2020, -100.076888, 31.168893, @musicisillegal @pochowek And heres what that guy looked like! https://t.co/qxPRYrzD40 
Ben_Ruiz, Thu Apr 30 07:00:53 +0000 2020, -122.435979, 37.770657, @iglizzie A MAJOR throwback 
alikiiiaa, Thu Apr 30 07:00:53 +0000 2020, -118.070164, 33.977809, https://t.co/BVj8zvx6mg 
ChicagoTafia, Thu Apr 30 07:00:53 +0000 2020, -87.665193, 41.558940, @godblesstoto @warateg Veteran of the beans war in what 95/96? 
KarinFox, Thu Apr 30 07:00:53 +0000 2020, -75.262703, 40.007008, @advocate_parent She’d blocked a bunch of advocates a few weeks ago, but then unblocked us. She is completely repul… https://t.co/dJpzEeCGjc 
Player1_UMB, Thu Apr 30 07:00:53 +0000 2020, -97.754724, 30.323346, @maddiebeth99 Just to break the record. Why not? 
LadyBellaDiego, Thu Apr 30 07:00:53 +0000 2020, -117.104989, 32.810012, I love these amazing Arollo boots My Ed got me, he spoils me so good 😊 missing our play time. https://t.co/oWjpPoMeFf 
BatwinEXE, Thu Apr 30 07:00:54 +0000 2020, -74.010886, 40.787365, YAY! #keepyaheadup 
j345vr, Thu Apr 30 07:00:54 +0000 2020, -123.123581, 49.257639, Science has oppertunity to investagate to  learn how hermphrodiate actually do naturally reproduce 
HolliJay29, Thu Apr 30 07:00:54 +0000 2020, -87.732013, 41.833585, Molly in my pineapple and rum 🥰 #healthycoping #ineedseratonin #dopeminefiend 
OccupyMars78, Thu Apr 30 07:00:54 +0000 2020, -98.245675, 26.240690, You wear a size 0 in pants so NO you’re not fat! Lol wtf 
viscagaby, Thu Apr 30 07:00:54 +0000 2020, -117.851089, 33.842863, This how the cockroach be after getting spraid with raid 
TurnerT7057, Thu Apr 30 07:00:54 +0000 2020, -82.501283, 27.543043, #trumpknew#Trumsoldusout to China 
VloneVito, Thu Apr 30 07:00:54 +0000 2020, -74.946407, 40.102243, She a dime Ima let er ride plus I got a dime on me.... 🥳 
knightrider_say, Thu Apr 30 07:00:54 +0000 2020, -122.452698, 37.678780, Angel: I have no clue how he survived that fall off the cliff every obe from FLAG was sure of it but according to a… https://t.co/SL9HiIsjDL 
__dooomi, Thu Apr 30 07:00:54 +0000 2020, -74.126997, 40.855511, Manifesting all the cornballs being removed from my inbox 🙏🏻 
LilacMoon_, Thu Apr 30 07:00:54 +0000 2020, -117.462698, 34.108160, I ate 2 cheesecake bites and I feel like a fat monster now https://t.co/ZT3pxYaG6V 
4our_4, Thu Apr 30 07:00:55 +0000 2020, -79.272570, 43.629311, Girl 🤣 
EpicSaxTenHours, Thu Apr 30 07:00:55 +0000 2020, -94.675094, 38.931549, This is my favorite thing of today https://t.co/mGSSJjM5UU https://t.co/do6UYsOQ1Q 
Kvng_pena, Thu Apr 30 07:00:55 +0000 2020, -100.076888, 31.168893, @kmsoliss 😳 
LoveLeahx, Thu Apr 30 07:00:55 +0000 2020, -89.017567, 42.257146, @1TriggaTrey You good?? 
